,uid,Batch,RBP,prefix,bam_0,bam_1,bam_control,plus_0,plus_1,plus_control,minus_0,minus_1,minus_control,bed_0,bed_1,idr,Cell Line
0,4001,batch2,NONO,encode4_batch2.4001,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4001_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4001_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4001_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4001_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4001_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4001_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4001_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4001_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4001_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4001_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4001_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_IDR_hg38/results/encore_master_batch2_IDR/results/4001_CLIP1_rep1.vs.4001_CLIP2_rep2.bed,K562
1,4002,batch2,FXR2,encode4_batch2.4002,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4002_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4002_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4002_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4002_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4002_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4002_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4002_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4002_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4002_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4002_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4002_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_IDR_hg38/results/encore_master_batch2_IDR/results/4002_CLIP1_rep1.vs.4002_CLIP2_rep2.bed,K562
2,4004,batch2,DEK,encode4_batch2.4004,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4004_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4004_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4004_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4004_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4004_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4004_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4004_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4004_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4004_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4004_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4004_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_IDR_hg38/results/encore_master_batch2_IDR/results/4004_CLIP1_rep1.vs.4004_CLIP2_rep2.bed,K562
3,4007,batch2,EIF2B3,encode4_batch2.4007,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4007_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4007_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4007_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4007_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4007_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4007_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4007_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4007_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4007_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4007_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4007_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_IDR_hg38/results/encore_master_batch2_IDR/results/4007_CLIP1_rep1.vs.4007_CLIP2_rep2.bed,K562
4,4008,batch2,RBFOX3,encode4_batch2.4008,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4008_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4008_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4008_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4008_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4008_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4008_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4008_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4008_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4008_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4008_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch2.4008_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_IDR_hg38/results/encore_master_batch2_IDR/results/4008_CLIP1_rep1.vs.4008_CLIP2_rep2.bed,K562
5,4009,batch7,GSK3,encode4_batch7.4009,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4009_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4009_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4009_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4009_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4009_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4009_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4009_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4009_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4009_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4009_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4009_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_IDR_hg38/results/encore_master_batch7_IDR/results/4009_CLIP1_rep1.vs.4009_CLIP2_rep2.bed,K562
6,4006,batch7,HNRNPK,encode4_batch7.4006,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4006_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4006_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4006_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4006_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4006_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4006_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4006_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4006_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4006_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4006_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4006_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_IDR_hg38/results/encore_master_batch7_IDR/results/4006_CLIP1_rep1.vs.4006_CLIP2_rep2.bed,K562
7,4010,batch7,NPM1,encode4_batch7.4010,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4010_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4010_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4010_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4010_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4010_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4010_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4010_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4010_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4010_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4010_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4010_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_IDR_hg38/results/encore_master_batch7_IDR/results/4010_CLIP1_rep1.vs.4010_CLIP2_rep2.bed,K562
8,4012,batch7,RPS6,encode4_batch7.4012,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4012_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4012_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4012_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4012_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4012_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4012_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4012_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4012_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4012_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4012_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch7.4012_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_IDR_hg38/results/encore_master_batch7_IDR/results/4012_CLIP1_rep1.vs.4012_CLIP2_rep2.bed,K562
9,4014,batch10,TDP43,encode4_batch10.4014,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch10.4014_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch10.4014_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch10.4014_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.bam,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch10.4014_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch10.4014_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch10.4014_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.pos.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch10.4014_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch10.4014_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch10.4014_CLIP1_INPUT.umi.r1.fq.genome-mappedSoSo.rmDupSo.norm.neg.bw,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch10.4014_CLIP1_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_hg38/encode4_batch10.4014_CLIP2_CLIP.umi.r1.fq.genome-mappedSoSo.rmDupSo.peakClusters.normed.compressed.sorted.blacklist-removed.bed,/projects/ps-yeolab5/encore/processing/encore_master_IDR_hg38/results/encore_master_batch10_IDR/results/4014_CLIP1_rep1.vs.4014_CLIP2_rep2.bed,K562
